Key,"en-US","es-ES"
login,"Login","Acceder"
es,"Spanish","Español"
en,"English","Inglés"
server_error,"Server connection error","Error conectando al servidor"
landing_header,"Opinions about your future internship","Opiniones sobre tus futuras prácticas "
landing_search_hint,"Company name..","Empresa.. "
landing_or,"or","o"
landing_submit_self,"tell us your experience","cuentanos tu experiencia"
login_title,"We know you wanna vent, but first..","Antes de desahogarte o informarte,"
login_mail,"Your mail is..","Tu correo es.."
login_pass,"And your pass..","Y la contraseña.."
login_mail_label,"E-mail address","Correo electrónico"
login_pass_label,"Password","Contraseña"
login_submit,"Log In","Iniciar sesión"
empty_field_warn,"Field is mandatory","Campo obligatorio"
profile_title,"Your Profile","Perfil de usuario"
profile_name,"Name:","Nombre:"
profile_mail,"E-mail address:","Correo electrónico:"
profile_greeting,"Hi,","Hola,"
profile_number,"Phone number:","Teléfono:"
profile_surnames,"Surname(s):","Apellidos:"
profile_country_id,"ID Card/Passport ID:","DNI:"
profile_dialog_new,"New","Nuevo(s)"
submit_title,"Did they treat you well?","Como te han tratado?"
submit_form_description,"Description:","Descripción:"
submit_form_description_hint,"This is where you tell us your experience: the good, the bad and the ugly.","Aquí es donde puedes contarlo todo: lo bueno, lo malo y lo muy malo."
modality,"Work mode:","Modalidad:"
modality_remote,"Full Remote","Remoto"
modality_hybrid,"Hybrid","Híbrido"
modality_on_site,"In-office","Presencial"
company,"Company:","Empresa:"
submit_form_course,"School year:","Curso academico:"
submit_form_success,"Review posted","Reseña publicada"
submit_form_rating_missing,"Rating is missing","Faltan las estrellas"
login_log_out,"Sign Out","Cerrar Sesión"
submit_form_title,"Title:","Título:"
submit_form_description_label,"Leave you experience here..","Cuéntalo todo aquí"
login_warn,"Login error ocurred","Error al iniciar sesión"
new_review_submit,"Add review","Añadir reseña"
rating,"Rating:","Valoración:"
landing_suggested_companies,"Some companies to check:","Algunas empresas que ver:"
search_title,"Review search:","Buscador de reseñas:"
search_filter_recent,"Latest","Más Reciente"
search_filter_oldest,"Oldest","Más antiguas"
search_filter_most_voted,"Best rated first","Mejor valoradas"
search_filter_least_voted,"Worst rated first","Peor valoradas"
job_search_title,"What do you want to work as?","¿De qué quieres trabajar?"
filter_dialog_title,"Review filters:","Filtros reseñas:"
filter_dialog_label_title,"Title:","Título:"
filter_dialog_label_description,"Description:","Descripción:"
date_picker_title,"Date range:","Rango de fechas:"
date_format,"MM/DD/YY","DD/MM/YY"
first_weekday,"0","1"
cancel_action,"Cancel","Cancelar"
filter_action,"Filter","Filtrar"
no_reviews,"There is nothing here, try other filters","Aquí no hay nada, prueba otros filtros"
